titulo,titulo_espanol,sinopsis
"The Shawshank Redemption","Sueños de Fuga","Dos hombres encarcelados establecen un vínculo a lo largo de varios años, encontrando consuelo y eventual redención a través de actos de decencia común."
"The Godfather","El Padrino","El patriarca de una dinastía del crimen organizado transfiere el control de su imperio clandestino a su reacio hijo."
"The Godfather: Part II","El Padrino: Parte II","La historia paralela del ascenso de Vito Corleone como padrino y la continuación del legado de Michael Corleone."
"The Dark Knight","El Caballero Oscuro","Cuando la amenaza conocida como el Joker emerge de su misterioso pasado, causa estragos y caos en la gente de Gotham."
"The Dark Knight Rises","El Caballero Oscuro: La Leyenda Renace","Ocho años después del reinado del Joker, Batman se ve obligado a regresar de su exilio para salvar a Gotham City del terrorista Bane."
"Pulp Fiction","Pulp Fiction","Las vidas de dos sicarios, un boxeador, la esposa de un gánster y un par de ladrones se entrelazan en cuatro historias de violencia y redención."
"Forrest Gump","Forrest Gump","Las presidencias de Kennedy y Johnson, Vietnam, Watergate y otros eventos históricos se desarrollan desde la perspectiva de un hombre de Alabama con un CI de 75."
"Fight Club","El Club de la Pelea","Un oficinista insomne y un fabricante de jabón forman un club de lucha clandestino que evoluciona hacia algo mucho más grande."
"Inception","El Origen","A un ladrón que roba secretos corporativos mediante el uso de la tecnología de compartir sueños se le da la tarea inversa de plantar una idea en la mente de un director ejecutivo."
"The Matrix","Matrix","Un hacker informático aprende de misteriosos rebeldes sobre la verdadera naturaleza de su realidad y su papel en la guerra contra sus controladores."
"The Matrix Reloaded","Matrix Reloaded","Neo y los rebeldes continúan su lucha contra las máquinas, descubriendo más secretos sobre Matrix y su propio destino."
"The Matrix Revolutions","Matrix Revolutions","La guerra entre humanos y máquinas llega a su punto culminante mientras Neo hace el último sacrificio para salvar a la humanidad."
"Goodfellas","Buenos Muchachos","La historia de Henry Hill y su vida en la mafia, cubriendo su relación con su esposa Karen Hill y sus socios mafiosos Jimmy Conway y Tommy DeVito."
"Se7en","Seven","Dos detectives, un novato y un veterano, cazan a un asesino en serie que basa sus crímenes en los siete pecados capitales."
"The Silence of the Lambs","El Silencio de los Corderos","Una joven cadete del FBI debe ganarse la confianza de un asesino manipulador y encarcelado para que la ayude a atrapar a otro asesino en serie que despelleja a sus víctimas."
"Star Wars: Episode IV - A New Hope","Star Wars: Episodio IV - Una Nueva Esperanza","Luke Skywalker se une a un caballero Jedi, un piloto fanfarrón y dos droides para salvar a la galaxia del Imperio Galáctico."
"Star Wars: Episode V - The Empire Strikes Back","Star Wars: Episodio V - El Imperio Contraataca","Después de que los Rebeldes son brutalmente superados por el Imperio en el planeta helado Hoth, Luke Skywalker comienza su entrenamiento Jedi con Yoda."
"Star Wars: Episode VI - Return of the Jedi","Star Wars: Episodio VI - El Retorno del Jedi","Los Rebeldes se reúnen para un asalto final contra el Imperio mientras Luke Skywalker intenta redimir a su padre, Darth Vader."
"The Lord of the Rings: The Fellowship of the Ring","El Señor de los Anillos: La Comunidad del Anillo","Un humilde Hobbit de la Comarca y ocho compañeros se embarcan en un viaje para destruir el poderoso Anillo Único y salvar a la Tierra Media del Señor Oscuro Sauron."
"The Lord of the Rings: The Two Towers","El Señor de los Anillos: Las Dos Torres","Mientras Frodo y Sam se acercan a Mordor con la ayuda de Gollum, el resto de la comunidad se prepara para la batalla contra las fuerzas de Saruman."
"The Lord of the Rings: The Return of the King","El Señor de los Anillos: El Retorno del Rey","Gandalf y Aragorn lideran el Mundo de los Hombres contra el ejército de Sauron para desviar su mirada de Frodo y Sam, quienes se acercan a Mordor con el Anillo Único."
"Parasite","Parásitos","La codicia y la discriminación de clase amenazan la recién formada relación simbiótica entre la adinerada familia Park y el empobrecido clan Kim."
"Gladiator","Gladiador","Un exgeneral romano se propone vengarse del emperador corrupto que asesinó a su familia y lo envió a la esclavitud."
"Saving Private Ryan","Rescatando al Soldado Ryan","Tras el desembarco de Normandía, un grupo de soldados estadounidenses se adentra en las líneas enemigas para rescatar a un paracaidista cuyos tres hermanos han sido asesinados en combate."
"Interstellar","Interestelar","Un equipo de exploradores viaja a través de un agujero de gusano en el espacio en un intento por asegurar el futuro de la humanidad."
"The Green Mile","Milagros Inesperados","Las vidas de los guardias del corredor de la muerte se ven afectadas por uno de sus presos: un hombre negro acusado de asesinato de niños, pero que tiene un don misterioso."
"Spirited Away","El Viaje de Chihiro","Durante la mudanza de su familia a los suburbios, una niña de 10 años deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias."
"La La Land","La La Land: Una Historia de Amor","Mientras persiguen sus sueños en Los Ángeles, un pianista de jazz y una aspirante a actriz se enamoran, pero sus aspiraciones amenazan con separarlos."
"Joker","Joker","En Gotham City, Arthur Fleck, un comediante con problemas mentales, es marginado y maltratado por la sociedad. Se embarca en una espiral descendente de crimen y caos que lo transforma en una figura icónica."
"Avengers: Endgame","Vengadores: Endgame","Tras los devastadores eventos de 'Infinity War', los Vengadores restantes se unen para revertir las acciones de Thanos y restaurar el equilibrio del universo."
"Avengers: Infinity War","Vengadores: Infinity War","Los Vengadores y sus aliados deben estar dispuestos a sacrificarlo todo para intentar derrotar al poderoso Thanos antes de que su explosión de devastación y ruina termine con el universo."
"Titanic","Titanic","Un artista pobre y una joven aristócrata se enamoran a bordo del lujoso e infame R.M.S. Titanic."
"Back to the Future","Volver al Futuro","Un adolescente californiano es transportado a 1955 en una máquina del tiempo inventada por un científico excéntrico, donde accidentalmente impide que sus futuros padres se conozcan."
"Back to the Future Part II","Volver al Futuro II","Después de viajar al 2015, Marty McFly debe repetir su visita a 1955 para evitar desastrosos cambios en la línea de tiempo."
"Back to the Future Part III","Volver al Futuro III","Atrapado en 1955, Marty McFly aprende que solo el Doc Brown puede ayudarlo a regresar a 1985, pero se encuentra varado en el Viejo Oeste."
"The Lion King","El Rey León","El príncipe león Simba y su padre son el objetivo de su amargado tío, quien desea ascender al trono por sí mismo."
"Jurassic Park","Parque Jurásico","Un paleontólogo pragmático que visita un parque temático casi completo tiene la tarea de proteger a un par de niños después de que un corte de energía provoque que los dinosaurios clonados del parque se desboquen."
"Jurassic World","Mundo Jurásico","Un nuevo parque temático con dinosaurios clonados se convierte en una pesadilla cuando un dinosaurio genéticamente modificado escapa de su recinto."
"Alien","Alien: El Octavo Pasajero","Después de que una tripulación de una nave espacial comercial se encuentre con una forma de vida mortal, pronto se dan cuenta de que su ciclo de vida acaba de comenzar."
"Aliens","Aliens: El Regreso","La única sobreviviente del encuentro con el Alien es enviada de regreso a la luna donde se encontró por primera vez con la criatura, esta vez con un escuadrón de marines."
"Blade Runner","Blade Runner","Un blade runner debe perseguir y eliminar a cuatro replicantes que robaron una nave en el espacio y han regresado a la Tierra para encontrar a su creador."
